src,tgt,value
bg,en,1.179447
cs,en,4.255277
da,en,1.563181
de,en,2.542821
el,en,1.086392
es,en,0.176696
et,en,17.676904
fi,en,28.019807
fr,en,0.009089
hu,en,14.330122
it,en,0.220815
lt,en,9.290027
lv,en,3.797421
nl,en,0.574238
pl,en,4.680604
pt,en,0.278409
ro,en,0.487283
sk,en,4.264930
sl,en,2.756245
sv,en,2.217672
en,bg,0.271044
en,cs,0.453609
en,da,0.308702
en,de,0.377718
en,el,0.260464
en,es,0.087586
en,et,0.652629
en,fi,0.707454
en,fr,0.007576
en,hu,0.625738
en,it,0.102199
en,lt,0.566951
en,lv,0.436745
en,nl,0.185849
en,pl,0.467708
en,pt,0.119300
en,ro,0.168996
en,sk,0.453944
en,sl,0.389485
en,sv,0.357918
