src,tgt,value
bg,en,0.960574
cs,en,0.858531
da,en,0.941749
de,en,0.967857
el,en,1.011606
es,en,1.056126
et,en,0.746022
fi,en,0.713137
fr,en,1.107415
hu,en,0.858711
it,en,0.993021
lt,en,0.788775
lv,en,0.819142
nl,en,1.019953
pl,en,0.859614
pt,en,1.022853
ro,en,0.996109
sk,en,0.858527
sl,en,0.869207
sv,en,0.889052
en,bg,1.041044
en,cs,1.164781
en,da,1.061854
en,de,1.033211
en,el,0.988527
en,es,0.946856
en,et,1.340443
en,fi,1.402254
en,fr,0.903004
en,hu,1.164537
en,it,1.007028
en,lt,1.267789
en,lv,1.220789
en,nl,0.980438
en,pl,1.163313
en,pt,0.977658
en,ro,1.003906
en,sk,1.164785
en,sl,1.150474
en,sv,1.124793
