src,tgt,value
bg,en,0.016609
cs,en,0.024387
da,en,0.017917
de,en,0.020659
el,en,0.016261
es,en,0.011309
et,en,0.041439
fi,en,0.050109
fr,en,0.008721
hu,en,0.038103
it,en,0.011704
lt,en,0.032231
lv,en,0.023478
nl,en,0.013996
pl,en,0.025188
pt,en,0.012163
ro,en,0.013520
sk,en,0.024406
sl,en,0.021181
sv,en,0.019819
en,bg,0.007962
en,cs,0.007962
en,da,0.007962
en,de,0.007962
en,el,0.007962
en,es,0.007962
en,et,0.007962
en,fi,0.007962
en,fr,0.007962
en,hu,0.007962
en,it,0.007962
en,lt,0.007962
en,lv,0.007962
en,nl,0.007962
en,pl,0.007962
en,pt,0.007962
en,ro,0.007962
en,sk,0.007962
en,sl,0.007962
en,sv,0.007962
