src,tgt,value
bg,en,0.007962
cs,en,0.007962
da,en,0.007962
de,en,0.007962
el,en,0.007962
es,en,0.007962
et,en,0.007962
fi,en,0.007962
fr,en,0.007962
hu,en,0.007962
it,en,0.007962
lt,en,0.007962
lv,en,0.007962
nl,en,0.007962
pl,en,0.007962
pt,en,0.007962
ro,en,0.007962
sk,en,0.007962
sl,en,0.007962
sv,en,0.007962
en,bg,0.016609
en,cs,0.024387
en,da,0.017917
en,de,0.020659
en,el,0.016261
en,es,0.011309
en,et,0.041439
en,fi,0.050109
en,fr,0.008721
en,hu,0.038103
en,it,0.011704
en,lt,0.032231
en,lv,0.023478
en,nl,0.013996
en,pl,0.025188
en,pt,0.012163
en,ro,0.013520
en,sk,0.024406
en,sl,0.021181
en,sv,0.019819
